facility_id,scene_id,datetime,cloud_cover,self_href,data_href
nuh-hereke,ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z,2024-09-26T09:21:37.095214Z,0.0,/ida/hyperspectral/EnMAP/L2A/2024/09/26/DT0000094515/01/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/09/26/DT0000094515/01/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z,2024-08-19T09:36:09.111246Z,1.0,/ida/hyperspectral/EnMAP/L2A/2024/08/19/DT0000088481/01/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/08/19/DT0000088481/01/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z,2024-08-19T09:36:09.111246Z,1.0,/ida/hyperspectral/EnMAP/L2A/2024/08/19/DT0000088481/01/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/08/19/DT0000088481/01/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z,2024-02-23T09:21:41.606143Z,1.0,/ida/hyperspectral/EnMAP/L2A/2024/02/23/DT0000062521/04/ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z/ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/02/23/DT0000062521/04/ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z/ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z,2024-02-23T09:21:37.154039Z,1.0,/ida/hyperspectral/EnMAP/L2A/2024/02/23/DT0000062521/03/ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z/ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/02/23/DT0000062521/03/ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z/ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000149963_20250824T092926Z_005_V010502_20250828T052448Z,2025-08-24T09:29:26Z,10.0,/geoservice/repository/ENMAP/L2A/2025/08/24/DT0000149963/05/ENMAP01-____L2A-DT0000149963_20250824T092926Z_005_V010502_20250828T052448Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/08/24/DT0000149963/05/ENMAP01-____L2A-DT0000149963_20250824T092926Z_005_V010502_20250828T052448Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000125876_20250411T092924Z_004_V010502_20250413T201311Z,2025-04-11T09:29:24Z,6.0,/geoservice/repository/ENMAP/L2A/2025/04/11/DT0000125876/04/ENMAP01-____L2A-DT0000125876_20250411T092924Z_004_V010502_20250413T201311Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/04/11/DT0000125876/04/ENMAP01-____L2A-DT0000125876_20250411T092924Z_004_V010502_20250413T201311Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250225T150448Z,2023-11-15T09:29:41Z,1.0,/geoservice/repository/ENMAP/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250225T150448Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250225T150448Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250916T000939Z,2023-11-15T09:29:41Z,1.0,/geoservice/repository/ENMAP/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250916T000939Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250916T000939Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20260111T185413Z,2023-11-15T09:29:41Z,1.0,/geoservice/repository/ENMAP/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20260111T185413Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20260111T185413Z-METADATA.XML
